run_id,machine_id,cell,death_q,checked
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-scalar.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-scalar.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-scalar.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec-par.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec-par.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec-par.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-blend.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-blend.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-blend.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-blend-par.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-blend-par.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-blend-par.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide-par.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide-par.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide-par.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-autovec.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-autovec.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-autovec.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-autovec-par.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-autovec-par.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-autovec-par.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-halide.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-halide.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-halide.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-halide-par.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-halide-par.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B2.w1-halide-par.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B3.w1-autovec.w2-simple,0.01,checked=PASS
